id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Soleil,r&b,romantic,0.61,95,0.88,0.74,0.42
12,Concrete Jungle,MC Wavez,hip-hop,energized,0.80,98,0.62,0.85,0.08
13,Raindrop Sonata,Clara Voss,classical,melancholic,0.22,66,0.38,0.30,0.97
14,Island Breeze,Kaya Roots,reggae,peaceful,0.55,85,0.79,0.71,0.63
15,Iron Curtain,Blackforge,metal,angry,0.97,180,0.22,0.55,0.04
16,Campfire Tales,The Wanderers,folk,dreamy,0.33,104,0.73,0.48,0.91
17,Neon Pulse,Circuit Nine,electronic,energized,0.88,140,0.66,0.92,0.06
18,Velvet Shadows,Luna Drift,r&b,moody,0.52,88,0.44,0.67,0.38
19,Forgotten Fields,Ember & Ash,folk,melancholic,0.29,76,0.35,0.42,0.88
20,Strobe Garden,Phasewire,electronic,dreamy,0.70,128,0.72,0.80,0.14
